"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17147","Search_multiCity","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","1602","User can select passengers","Desktop Chrome","2026-05-06","failed","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","1","Close edit panel closes the edit modal","Desktop Chrome","2026-05-03","skipped","2026-05-03","Search Results Page - Edit Mode UI","SearchResult_tc.spec.ts","",""
"","0","Apply edit search with city and date changes","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Search Apply","SearchResult_tc.spec.ts","",""
"","10363","Close Edit Button","Desktop Chrome","2026-05-08","passed","2026-05-08","Search Edit ","SearchResult_tc.spec.ts","",""
"","0","Update Round Trip search parameters in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Batch Updates","SearchResult_tc.spec.ts","",""
"","22489","Change destination city","Desktop Chrome","2026-05-05","passed","2026-05-05"," Edit  City Selection","SearchResult_tc.spec.ts","",""
"","1","Change trip type in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Dropdown Changes","SearchResult_tc.spec.ts","",""
"","18524","Search_roundTrip","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","17163","Change return date in Round Trip edit mode","Desktop Chrome","2026-05-05","passed","2026-05-05"," Edit Mode Date Changes","SearchResult_tc.spec.ts","",""
"","5309","select passengers","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","4216","select trip type","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","0","Complete edit search workflow with One Way","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Search Apply","SearchResult_tc.spec.ts","",""
"","2234","Edit search and cancel by closing panel","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Integration","SearchResult_tc.spec.ts","",""
"","27534","Sort by Recommended after Round Trip search","Desktop Chrome","2026-05-06","passed","2026-05-06","Search Results Page - Sorting","SearchResult_tc.spec.ts","",""
"","3344","my booking","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","16492","Change currency in edit mode","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Dropdown Changes","SearchResult_tc.spec.ts","",""
"","3447","FLYWT logo","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","1","Full edit flow: open -> change passengers -> apply","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Integration","SearchResult_tc.spec.ts","",""
"","20513","Change cabin class in edit mode","Desktop Chrome","2026-05-05","failed","2026-05-05","Edit Mode Dropdown Changes","SearchResult_tc.spec.ts","",""
"","0","Update One Way search parameters in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Batch Updates","SearchResult_tc.spec.ts","",""
"","12373","Open passenger dropdown in edit mode","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Passenger Changes","SearchResult_tc.spec.ts","",""
"","4364","click on my booking","Desktop Chrome","2026-05-06","failed","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","8533","User can select cabin class","Desktop Chrome","2026-05-06","passed","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","9607","Home button navigates to homepage","Desktop Chrome","2026-05-06","failed","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","43912","Sort by Recommended after Round Trip search","Desktop Chrome","2026-05-04","passed","2026-05-04","Search ResultsSorting","SearchResult_tc.spec.ts","",""
"","23710","Change departure date in edit mode","Desktop Chrome","2026-05-06","passed","2026-05-06"," Edit Date ","SearchResult_tc.spec.ts","",""
"","0","Increment passenger count in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Passenger Changes","SearchResult_tc.spec.ts","",""
"","18030","Full edit flow: one way","Desktop Chrome","2026-05-06","passed","2026-05-06","Edit Full Flow","SearchResult_tc.spec.ts","",""
"","19156","Change departure date in edit mode","Desktop Chrome","2026-05-05","passed","2026-05-05"," Edit Mode Date Changes","SearchResult_tc.spec.ts","",""
"","30292","Full edit flow to round trip","Desktop Chrome","2026-05-08","broken","2026-05-08","Edit Full Flow","SearchResult_tc.spec.ts","",""
"","17827","Complete edit search workflow with Round Trip","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Search Apply","SearchResult_tc.spec.ts","",""
"","31041","Fill origin, destination and dat","Desktop Chrome","2026-05-08","broken","2026-05-08","Flight Search","Search_tc.spec.ts","",""
